"Journal Data Filtered By:  Selected JCR Year: 2013 Selected Editions: SCIE,SSCI Selected Categories: 'ECOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,
1,TRENDS IN ECOLOGY & EVOLUTION,"26,806",15.353,0.05433,
2,ECOLOGY LETTERS,"20,519",13.042,0.06457,
3,Annual Review of Ecology Evolution and Systematics,"16,396",10.977,0.01861,
4,ISME Journal,"8,309",9.267,0.04018,
5,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"5,362",8.412,0.01914,
6,GLOBAL CHANGE BIOLOGY,"22,987",8.224,0.06793,
7,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"6,199",7.242,0.01715,
8,ECOLOGICAL MONOGRAPHS,"9,092",7.107,0.00988,
9,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,"2,461",6.64,0.00255,
10,Advances in Ecological Research,"1,823",6.25,0.00157,
11,MOLECULAR ECOLOGY,"31,185",5.84,0.06837,
12,JOURNAL OF ECOLOGY,"14,830",5.694,0.02747,
13,Molecular Ecology Resources,"5,567",5.626,0.02742,
14,DIVERSITY AND DISTRIBUTIONS,"4,900",5.469,0.01642,
15,Methods in Ecology and Evolution,"1,731",5.322,0.01004,
16,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"39,399",5.292,0.09342,
17,ECOLOGY,"52,767",5,0.06503,
18,JOURNAL OF BIOGEOGRAPHY,"11,706",4.969,0.02476,
19,FUNCTIONAL ECOLOGY,"10,831",4.857,0.0224,
20,JOURNAL OF APPLIED ECOLOGY,"13,115",4.754,0.02788,
21,JOURNAL OF ANIMAL ECOLOGY,"13,314",4.726,0.0237,
22,EVOLUTION,"31,750",4.659,0.05041,
23,AMERICAN NATURALIST,"26,753",4.454,0.03284,
24,CONSERVATION BIOLOGY,"17,277",4.32,0.02503,
25,ECOGRAPHY,"7,197",4.207,0.01795,
26,ECOLOGICAL APPLICATIONS,"17,219",4.126,0.03214,
27,BIOLOGICAL CONSERVATION,"19,784",4.036,0.04005,
28,HEREDITY,"9,000",3.804,0.01627,
29,Biogeosciences,"6,982",3.753,0.0361,
30,LANDSCAPE ECOLOGY,"5,832",3.574,0.01061,
31,OIKOS,"19,192",3.559,0.02767,
32,ECOSYSTEMS,"6,484",3.531,0.01288,
33,JOURNAL OF EVOLUTIONARY BIOLOGY,"9,609",3.483,0.02855,
34,Biology Letters,"6,445",3.425,0.0287,
35,JOURNAL OF VEGETATION SCIENCE,"6,541",3.372,0.00959,
36,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,"1,349",3.324,0.00387,
37,OECOLOGIA,"29,987",3.248,0.03427,
38,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"12,307",3.203,0.02216,
39,BEHAVIORAL ECOLOGY,"7,984",3.157,0.01817,
40,MICROBIAL ECOLOGY,"7,473",3.118,0.01491,
41,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"10,975",3.049,0.01706,
42,ECOLOGICAL ENGINEERING,"6,586",3.041,0.01233,
43,Fungal Ecology,701,2.992,0.00327,
44,WILDLIFE MONOGRAPHS,612,2.75,0.00045,
45,BIOLOGICAL INVASIONS,"5,504",2.716,0.01877,
46,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,"4,267",2.706,0.00746,
47,ECOLOGY AND SOCIETY,"4,521",2.669,0.01186,
48,MARINE ECOLOGY PROGRESS SERIES,"34,992",2.64,0.04967,
49,Ecohydrology,776,2.634,0.00443,
50,LANDSCAPE AND URBAN PLANNING,"6,203",2.606,0.00967,
51,Ecosphere,775,2.595,0.0055,
52,ANIMAL CONSERVATION,"2,221",2.524,0.00591,
53,ECOLOGICAL ECONOMICS,"11,775",2.517,0.02719,
54,ECOTOXICOLOGY,"3,859",2.5,0.01147,
55,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,"14,068",2.475,0.01865,
56,PALEOBIOLOGY,"3,446",2.456,0.00393,
57,Bulletin of the Peabody Museum of Natural History,151,2.421,0.00048,
58,APPLIED VEGETATION SCIENCE,"1,355",2.416,0.00311,
59,BASIC AND APPLIED ECOLOGY,"2,241",2.389,0.00685,
60,EVOLUTIONARY ECOLOGY,"3,410",2.372,0.00573,
61,ECOLOGICAL MODELLING,"13,456",2.326,0.02172,
62,Journal of Plant Ecology,458,2.284,0.00218,
63,JOURNAL OF CHEMICAL ECOLOGY,"9,260",2.239,0.0104,
64,EUROPEAN JOURNAL OF SOIL BIOLOGY,"1,721",2.146,0.00357,
65,BIOTROPICA,"5,281",2.082,0.00672,
66,POLAR BIOLOGY,"4,546",2.071,0.00929,
67,BIODIVERSITY AND CONSERVATION,"7,589",2.065,0.016,
68,Ecological Complexity,771,2,0.00297,
69,RESTORATION ECOLOGY,"3,576",1.991,0.00698,
70,Ecological Informatics,691,1.98,0.00243,
71,CHEMOECOLOGY,907,1.963,0.00144,
72,ORYX,"1,814",1.914,0.00446,
73,AQUATIC MICROBIAL ECOLOGY,"4,042",1.901,0.00627,
