JournalTitle,Society,Publisher,SoftwareSection,AimsScope,AuthorInstructions,CreationSoftware,RequireCodeRelease,RequireDataRelease,TitleSoftwareSection
Trends in Ecology & Evolution,None,Cell Press,No,0,0,0,No,No,None
Ecology Letters,The French National Center for Research - CNRS,Wiley,No,0,1,0,No,Yes,None
Annual Review of Ecology Evolution and Systematics,None,Annual Reviews,No,0,6,0,No,No,None
ISME Journal ,International Society for Microbial Ecology,Nature Publishing Group,No,0,3,0,No,Yes,None
Frontiers in Ecology and the Environment ,Ecological Society of America,Ecological Society of America,No,0,2,0,No,No,None
Global Change Biology,None,Wiley,No,0,1,0,No,Yes,None
Global Ecology and Biogeography,None,Wiley,Yes,0,4,1,No,No,Macroecological methods
Ecological Monographs,Ecological Society of America,Ecological Society of America,No,0,6,6,Yes,Yes,None
Molecular Ecology,None,Wiley,No,0,3,2,Yes,Yes,None
Journal of Ecology ,British Ecological Society,Wiley,No,0,2,0,Yes,Yes,None
Molecular Ecology Resources,None,Wiley,Yes,1,9,8,Yes,Yes,Computer Programs
Diversity and Distributions,None,Wiley,No,0,3,1,No,No,None
Methods in Ecology and Evolution ,British Ecological Society,Wiley,Yes,0,6,4,Yes,Yes,Applications
Proceedings of the Royal Society B-Biological Sciences ,The Royal Society,The Royal Society Publishing,No,0,1,1,Yes,Yes,None
Ecology ,Ecological Society of America,Ecological Society of America,No,0,6,6,Yes,Yes,None
Journal of Biogeography,None,Wiley,No,0,4,0,No,Yes,None
Functional Ecology ,British Ecological Society,Wiley,No,0,1,0,Yes,Yes,None
Journal of Applied Ecology ,British Ecological Society,Wiley,No,0,5,0,Yes,Yes,None
Journal of Animal Ecology ,British Ecological Society,Wiley,No,0,1,0,Yes,Yes,None
Evolution ,The Society for the Study of Evolution,Wiley,No,0,0,0,No,Yes,None
American Naturalist ,The American Society of Naturalists,The University of Chicago Press,No,0,1,1,Yes,Yes,None
Conservation Biology,The Society for the Conservation of Biology,Wiley,No,0,0,0,No,No,None
Ecography,The Nordic Society,Wiley,Yes,8,9,7,No,No,Software notes
Ecological Applications ,The Ecological Society of America,Ecological Society of America,No,0,6,6,Yes,Yes,None
Biological Conservation ,The Society for Conservation Biology,Elsevier,No,0,3,0,No,Yes,None
Heredity ,The Genetics Society,Nature Publishing Group,No,0,17,8,Yes,Yes,None
Biogeosciences ,European Geosciences Union,Copernicus Publications,Yes,0,2,2,No,Yes,Technical Note
Landscape Ecology,None,Springer,No,0,2,0,No,No,None
Oikos ,The Nordic Society,Wiley,No,0,0,0,No,Yes,None
Ecosystems,None,Springer,No,0,2,0,No,No,None
Journal of Evolutionary Biology ,European Society for Evolutionary Biology,Wiley,No,0,0,0,No,Yes,None
Biology Letters ,The Royal Society,The Royal Society Publishing,No,0,0,0,No,Yes,None
Journal of Vegetation Science,International Association for Vegetation Science,Wiley,Yes,0,2,2,No,No,Report
Perspectives in Plant Ecology Evolution and Systematics,None,Elsevier,No,0,3,0,No,Yes,None
Oecologia,None,Springer,No,0,1,0,No,No,None
Agriculture Ecosystems & Environment,None,Elsevier,No,0,2,0,No,No,None
Behavioral Ecology ,The International Society for Behavioral Ecology,Oxford Journals,No,0,1,0,No,No,None
Microbial Ecology,None,Springer,No,0,2,0,No,Yes,None
